epoch,information,baseline_loss,norm,entropy
0,0.019393554776906966,1.8500057864189148,0.08514769345521928,-1.5032882475852967
1,0.017932263776659966,1.8495999817848205,0.08522809903323651,-1.498375725030899
2,0.020281280083954332,1.8335021540641785,0.08508294660300017,-1.4948905401945116
3,0.023344222638159988,1.807956367712021,0.08489123331114651,-1.4916823947596551
4,0.02896987743659317,1.7699536129064561,0.0845426146233529,-1.497179004326582
5,0.035128110505492985,1.7236555701697351,0.08414993346134873,-1.4928571159617188
6,0.03994405575008824,1.6629762194935513,0.08384827427923726,-1.4937775453605724
7,0.041195455185278965,1.6008503298506767,0.08376484439843936,-1.49662521654473
8,0.04977954653653924,1.5095322554003265,0.08321762352651993,-1.5035965006420575
9,0.07078862216550193,1.3975525970182778,0.08190502837568497,-1.507457742768785
10,0.07598119642416908,1.3131381266345348,0.08157490830364802,-1.5086136534913723
11,0.08999900260043388,1.2067630863663346,0.08069333381125014,-1.508250699797661
12,0.09509829371546727,1.1111922998705617,0.08037533894183052,-1.5138272537822046
13,0.09899265109188875,1.0201996387522618,0.08012798520924282,-1.5135616231591569
14,0.11281682095993328,0.933609884886253,0.07925829793216257,-1.516258453663981
15,0.11515400734158249,0.8585336375832332,0.07910672187985304,-1.5240695029528104
16,0.11876973625223539,0.7849078118964826,0.0788798972384452,-1.523399914803907
17,0.15048337527692945,0.727717519149017,0.07690772828456632,-1.5319759892548366
18,0.1468842675335464,0.6757181572048351,0.07712472679016177,-1.538965361755363
19,0.15544833243315728,0.6295801599885659,0.07658886294183598,-1.553417586184685
20,0.15259709405534247,0.5779003944306645,0.07675977385596156,-1.5558812875424128
21,0.16876549554734926,0.535024205928362,0.0757524574761604,-1.5610686783976226
22,0.16860926543506535,0.5232911323773711,0.07576556920692457,-1.5668563127207937
23,0.14319670255332487,0.5142073080183133,0.07735362475828945,-1.576910405131118
24,0.13303256722106901,0.4801466763607619,0.0779737738136943,-1.5853232650505928
25,0.15174114830924004,0.4472615803636871,0.07680974182765149,-1.582284961153337
26,0.14573488166302082,0.42696226311693447,0.07718421198976454,-1.589565586217584
27,0.16087310742172273,0.4031125281718658,0.07623119816677942,-1.59397524115593
28,0.16136142659186725,0.3888039227694828,0.076199101899539,-1.5953774778588186
29,0.15042885423153107,0.3884533518884085,0.076895440797038,-1.6050378249177548
30,0.12893417442991853,0.3812947596758755,0.07823431770207923,-1.6216322730263364
31,0.11347712113846409,0.36988907730431725,0.07920851446869172,-1.6422365780723356
32,0.10447310455342294,0.34679341874287756,0.07976650709821757,-1.6499830282973285
33,0.11414474795937682,0.3265977457770667,0.07916056266350129,-1.6643242583197684
34,0.11947545607996116,0.30140618860950724,0.07881909176042001,-1.6710409635474381
35,0.12215258853237744,0.28910493630377043,0.0786558038010924,-1.6805952837023226
36,0.13106041012645586,0.27509549087918633,0.07810770492387376,-1.6904768342333814
37,0.1293393210033252,0.26541131597730666,0.07820787068276908,-1.6993750138185424
38,0.13088252141711185,0.25691000489419535,0.07809791750671839,-1.7084611201675535
39,0.13359388856265308,0.24392844103001807,0.0779310458030913,-1.7203210773818314
40,0.1286986736566427,0.24439195615550804,0.07823943343400483,-1.7320716341810782
41,0.135206632080132,0.24143345268816585,0.07782970145320468,-1.7433644524047398
42,0.13547799054901682,0.2308269502498284,0.07780820083596325,-1.748468639030721
43,0.10613959786254958,0.23039693985380905,0.07963749379197971,-1.7653441264402863
44,0.09401429616921063,0.2245533432200388,0.08041016623628332,-1.7705348436390156
45,0.0889098934100233,0.21614644807292543,0.08074942605422908,-1.7779954433758371
46,0.07979599734540246,0.21017530918163232,0.08132511189633883,-1.785240421800552
47,0.07541677425410268,0.20112430186607397,0.08159443014312634,-1.7972012321729107
48,0.06899327751343773,0.1947465723666962,0.08199049399896427,-1.8112211645166851
49,0.05316892698864931,0.19052730751753594,0.08298544907513825,-1.8198738967645862
50,0.04731061847174878,0.18032288379046987,0.08336244676062675,-1.8327282546104817
51,0.0406401518836443,0.17074483641153876,0.08377601757838618,-1.8383357074983564
52,0.04086142539425114,0.16423029526173744,0.0837536315488305,-1.8505289431030436
53,0.04059468509504276,0.15731659953981345,0.08376684260673699,-1.8568736208332972
54,0.03554502122177849,0.1483484435843501,0.08409244369543234,-1.86444930263043
55,0.04656854341990503,0.14204643085006535,0.08338635497757768,-1.8667364575953536
56,0.03968259039282876,0.14495687119129594,0.08381442862870374,-1.869265628322177
57,0.03806194012844632,0.13600516275209154,0.08392111499418686,-1.8754795560218807
58,0.029412310783422616,0.13162149340488283,0.08447145099320892,-1.8817096885124966
59,0.0243488257134169,0.12566814501355084,0.08478666415702299,-1.8928541829657666
60,0.02301919580288616,0.1198273324081599,0.08487794806859787,-1.90370930407692
61,0.01979599743295807,0.11463215499230915,0.085106625008302,-1.9138930187307208
62,0.015506056778512288,0.11131071862154031,0.08537102961336113,-1.9249213780476817
63,0.006440831005169653,0.10641815618341706,0.08594546676094415,-1.9412108373803647
64,0.0065982444401923145,0.10218500511570759,0.08594745852424278,-1.9575423829701022
65,0.003800524501473606,0.09944854904389966,0.08612767588681199,-1.9808224497687645
66,0.004088477636996717,0.09541606246688891,0.08611233165788248,-1.992054825048312
67,-0.0008013813385750546,0.09213460713707443,0.0864278387361252,-2.002894871670602
68,0.0030049529949379827,0.08754402365237207,0.08620771598817262,-2.0141404410945754
69,0.00048686982210453204,0.08438398875027654,0.08636733259559887,-2.018101448483531
70,-0.002183664595937944,0.08121408912111602,0.08653121765674249,-2.0286085505490874
71,-0.0021548996024038343,0.07653119732501461,0.08653860313792017,-2.039552892017845
72,0.007461973519381347,0.0725444749927135,0.0859471363255291,-2.050809526653722
73,0.019557938813796454,0.07168756780197726,0.08519158931931038,-2.0551808354362566
74,0.029787537096110712,0.07507769952419853,0.08456270795190496,-2.069062919834678
75,0.04004513734158209,0.08357176987867797,0.08399157603697391,-2.0783943355785537
76,0.04812025581517515,0.09350702455825725,0.08348186001285683,-2.0947834045326763
77,0.03376512788729696,0.10069452396351503,0.08436824926827642,-2.099326848384981
78,0.014341263663740417,0.09609500547187096,0.08556783045018578,-2.1112272786473434
79,0.007922539554808851,0.0898183010904035,0.08596302790658054,-2.125277173701692
80,0.0045076363022097795,0.08377520329249272,0.08617414501204829,-2.1381028820727184
